last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xobp,exit_velocity_avg,launch_angle_avg,hard_hit_percent,
Crawford, Brandon,543063,2016,29,553,623,12,115,57,18.5,9.1,.275,.430,.342,.772,.252,.408,.327,.328,88.9,12.9,34.7,
Cron, C.J.,543068,2016,26,407,445,16,75,24,16.9,5.4,.278,.467,.324,.790,.272,.463,.337,.325,89.4,12.3,38.9,
Dickerson, Alex,543105,2016,26,253,285,10,44,26,15.4,9.1,.257,.455,.333,.788,.269,.444,.336,.346,88.9,15.8,39.3,
Giavotella, Johnny,543213,2016,28,346,367,6,39,13,10.6,3.5,.260,.376,.283,.659,.280,.366,.285,.307,85.7,9.7,22,
Gomes, Yan,543228,2016,28,251,264,9,69,9,26.1,3.4,.167,.327,.201,.527,.207,.362,.225,.238,87,16.8,32.1,
Grossman, Robbie,543257,2016,26,332,389,11,96,55,24.7,14.1,.280,.443,.386,.828,.253,.380,.363,.363,86.5,13.2,28.4,
Harrison, Josh,543281,2016,28,487,522,4,76,18,14.6,3.4,.283,.388,.308,.697,.238,.350,.301,.270,86.5,13,22.9,
Hicks, Aaron,543305,2016,26,327,361,8,68,30,18.8,8.3,.217,.336,.280,.616,.231,.357,.270,.296,89.1,10.7,35,
Hosmer, Eric,543333,2016,26,605,667,25,132,57,19.8,8.5,.266,.433,.328,.761,.259,.439,.326,.325,92,4,44.2,
Kipnis, Jason,543401,2016,29,610,688,23,146,60,21.2,8.7,.275,.469,.340,.809,.269,.450,.347,.341,89.9,14.8,39.5,
Lawrie, Brett,543434,2016,26,351,384,12,109,30,28.4,7.8,.248,.413,.310,.723,.232,.381,.311,.296,88.9,16.8,34.6,
McCann, James,543510,2016,26,344,373,12,109,23,29.2,6.2,.221,.358,.271,.628,.224,.415,.273,.275,88.4,16.2,36.8,
Miller, Brad,543543,2016,26,548,601,30,149,47,24.8,7.8,.243,.482,.304,.786,.242,.439,.333,.305,90.6,12,42.5,
Nieuwenhuis, Kirk,543590,2016,28,335,392,13,133,56,33.9,14.3,.209,.385,.324,.709,.203,.383,.313,.320,90.2,9.6,37.1,
Rendon, Anthony,543685,2016,26,567,647,20,117,65,18.1,10.0,.270,.450,.348,.797,.267,.453,.342,.351,91.1,16.9,41.5,
Semien, Marcus,543760,2016,25,568,621,27,139,51,22.4,8.2,.238,.435,.300,.734,.222,.406,.315,.286,88,15.4,35.3,
Shaw, Travis,543768,2016,26,480,530,16,133,43,25.1,8.1,.242,.421,.306,.726,.233,.418,.310,.299,88.6,16.2,34.2,
Springer III, George,543807,2016,26,644,744,29,178,88,23.9,11.8,.261,.457,.359,.815,.260,.467,.353,.359,89.4,8.8,38.5,
Strange-Gordon, Dee,543829,2016,28,325,345,1,55,18,15.9,5.2,.268,.335,.304,.640,.210,.258,.279,.253,82.8,3.7,14,
Wong, Kolten,543939,2016,25,313,361,5,52,34,14.4,9.4,.240,.355,.327,.682,.244,.344,.300,.336,86.8,10.9,26.3,
Gregorius, Didi,544369,2016,26,562,597,20,82,19,13.7,3.2,.276,.447,.302,.748,.248,.353,.319,.278,86.1,14.6,25.3,
Grichuk, Randal,545341,2016,24,446,478,24,141,28,29.5,5.9,.240,.480,.289,.769,.235,.465,.325,.284,91.4,16.3,46.1,
Marisnick, Jake,545350,2016,25,287,311,5,83,16,26.7,5.1,.209,.331,.254,.585,.218,.323,.257,.269,86.8,11.6,34,
Trout, Mike,545361,2016,24,549,681,29,137,116,20.1,17.0,.315,.550,.441,.991,.304,.572,.418,.436,90.9,13.8,40.3,
Herrera, Odubel,546318,2016,24,583,656,15,134,63,20.4,9.6,.286,.420,.360,.780,.236,.355,.338,.318,87.7,10.3,30.9,
Harper, Bryce,547180,2016,23,506,627,24,117,108,18.7,17.2,.243,.441,.373,.814,.249,.438,.343,.385,89,15.2,36.1,
Kim, Hyun Soo,547957,2016,28,305,346,6,51,36,14.7,10.4,.302,.420,.382,.801,.273,.423,.352,.358,90.5,6.5,36.5,
Martin, Leonys,547982,2016,28,518,576,15,149,44,25.9,7.6,.247,.378,.304,.682,.223,.332,.298,.288,87.6,12.9,31.3,
Abreu, Jose,547989,2016,29,624,695,25,125,47,18.0,6.8,.293,.468,.353,.820,.281,.467,.349,.344,89.7,10.4,39,
Suarez, Eugenio,553993,2016,24,565,627,21,155,51,24.7,8.1,.248,.411,.317,.728,.236,.393,.316,.307,86.6,16,29.1,
Polanco, Gregory,570256,2016,24,527,587,22,119,53,20.3,9.0,.258,.463,.322,.785,.273,.440,.331,.340,89.9,14,40,
Santana, Domingo,570267,2016,23,246,281,11,91,32,32.4,11.4,.256,.447,.345,.792,.269,.464,.343,.357,92.9,9.3,53.2,
Flores, Ramon,570717,2016,24,249,289,2,58,31,20.1,10.7,.205,.261,.291,.552,.219,.279,.250,.311,84.5,9.5,20.2,
Schoop, Jonathan,570731,2016,24,615,647,25,137,21,21.2,3.2,.267,.454,.298,.752,.251,.407,.320,.285,87.4,11.9,35.1,
Adams, Matt,571431,2016,27,297,327,16,81,25,24.8,7.6,.249,.471,.309,.780,.236,.460,.331,.298,89.8,20,40.2,
Arenado, Nolan,571448,2016,25,618,696,41,103,68,14.8,9.8,.294,.570,.362,.932,.261,.474,.386,.335,89.5,18.8,39.8,
Barnhart, Tucker,571466,2016,25,377,420,7,72,36,17.1,8.6,.257,.379,.321,.701,.255,.360,.300,.323,86.1,9.6,23.2,
Bour, Justin,571506,2016,28,280,321,15,56,38,17.4,11.8,.264,.475,.349,.824,.276,.503,.343,.364,91.8,10.1,46.7,
Gennett, Scooter,571697,2016,26,498,542,14,114,38,21.0,7.0,.263,.412,.315,.727,.228,.337,.315,.286,86.9,12.3,24.5,
Hamilton, Billy,571740,2016,25,411,460,3,93,36,20.2,7.8,.260,.343,.313,.656,.231,.276,.294,.296,83.4,10.5,11.5,
Holt, Brock,571788,2016,28,290,324,7,58,27,17.9,8.3,.255,.383,.321,.704,.261,.360,.308,.329,86,6.2,26.3,
Joseph, Tommy,571830,2016,24,315,347,21,75,22,21.6,6.3,.257,.505,.308,.813,.258,.486,.342,.314,89.9,16.8,41.9,
Lamb, Jake,571875,2016,25,523,594,29,154,64,25.9,10.8,.249,.509,.332,.840,.246,.466,.352,.332,91.3,10.4,43.4,
Myers, Wil,571976,2016,25,599,676,28,160,68,23.7,10.1,.259,.461,.336,.797,.252,.433,.341,.333,88.6,10.1,39.2,
Naquin, Tyler,571980,2016,25,321,365,14,112,36,30.7,9.9,.296,.514,.370,.884,.253,.431,.374,.336,91,10.6,45.1,
Owings, Chris,572008,2016,24,437,466,5,87,20,18.7,4.3,.277,.416,.313,.730,.266,.381,.311,.308,88.1,8.6,32.8,
Piscotty, Stephen,572039,2016,25,582,649,22,133,51,20.5,7.9,.273,.457,.342,.799,.262,.460,.345,.334,88.3,13.7,37.8,
Rickard, Joey,572073,2016,25,257,282,5,54,18,19.1,6.4,.268,.377,.316,.693,.230,.330,.304,.287,85.9,13,22.6,
Schimpf, Ryan,572114,2016,28,276,330,20,105,42,31.8,12.7,.217,.533,.336,.869,.196,.473,.362,.324,90.3,29.7,41.4,
Seager, Kyle,572122,2016,28,597,676,30,108,69,16.0,10.2,.278,.499,.359,.859,.292,.512,.363,.374,90.4,16.7,41.3,
Thompson, Trayce,572204,2016,25,236,262,13,66,26,25.2,9.9,.225,.436,.302,.738,.241,.428,.318,.317,88.4,8.5,35.9,
Carpenter, Matt,572761,2016,30,473,566,21,108,81,19.1,14.3,.271,.505,.378,.883,.287,.543,.375,.397,90.7,18.1,42.2,
Dickerson, Corey,572816,2016,27,510,548,24,134,33,24.5,6.0,.245,.469,.292,.761,.233,.442,.319,.283,89,18.1,38.1,
Dozier, Brian,572821,2016,29,615,691,42,138,61,20.0,8.8,.268,.546,.339,.885,.234,.457,.370,.311,88.1,18.8,36.2,
Saladino, Tyler,573135,2016,26,298,319,8,62,13,19.4,4.1,.282,.409,.313,.723,.253,.357,.313,.290,86.8,8.1,27,
Contreras, Willson,575929,2016,24,252,283,12,67,26,23.7,9.2,.282,.488,.357,.845,.261,.443,.363,.340,88.4,6.9,33.9,
Gyorko, Jedd,576397,2016,27,400,438,30,96,37,21.9,8.4,.243,.495,.306,.801,.239,.472,.339,.304,87.7,14.9,36.1,
Iglesias, Jose,578428,2016,26,467,513,4,50,28,9.7,5.5,.255,.336,.302,.638,.251,.311,.283,.305,83.6,8.5,20.6,
Travis, Devon,581527,2016,25,410,432,11,87,20,20.1,4.6,.300,.454,.331,.785,.257,.383,.337,.291,87,11.4,31.1,
Hechavarria, Adeiny,588751,2016,27,508,547,3,73,33,13.3,6.0,.236,.311,.282,.593,.271,.358,.256,.317,88.1,8,31.4,
Bryant, Kris,592178,2016,24,603,699,39,154,75,22.0,10.7,.292,.554,.385,.939,.267,.546,.396,.365,89.3,20.8,38.9,
Casali, Curt,592200,2016,27,226,256,8,82,25,32.0,9.8,.186,.336,.270,.606,.197,.331,.268,.282,86.1,20.4,31.3,
Castellanos, Nick,592206,2016,24,411,447,18,111,28,24.8,6.3,.285,.496,.331,.827,.288,.584,.350,.335,89.5,17,39,
Drury, Brandon,592273,2016,23,461,499,16,100,31,20.0,6.2,.282,.458,.329,.786,.260,.411,.335,.312,88.8,9.3,36.7,
Healy, Ryon,592387,2016,24,269,283,13,60,12,21.2,4.2,.305,.524,.336,.860,.289,.507,.364,.322,88.7,13.5,40,
Machado, Manny,592518,2016,23,640,696,37,120,48,17.2,6.9,.294,.533,.343,.876,.292,.527,.366,.345,90.3,14.5,43.2,
Pederson, Joc,592626,2016,24,406,476,25,130,63,27.3,13.2,.246,.495,.351,.846,.240,.462,.360,.349,92.3,15.3,47,
Realmuto, J.T.,592663,2016,25,509,545,11,100,28,18.3,5.1,.303,.428,.343,.771,.266,.387,.333,.311,88.6,9.8,35.2,
Rosario, Eddie,592696,2016,24,335,354,10,91,12,25.7,3.4,.269,.421,.294,.715,.227,.375,.304,.258,87.7,11.3,31.7,
Simmons, Andrelton,592743,2016,26,448,483,4,38,28,7.9,5.8,.281,.366,.323,.689,.271,.354,.302,.318,86.7,4.5,29.6,
Yelich, Christian,592885,2016,24,578,659,21,138,72,20.9,10.9,.298,.483,.376,.859,.306,.512,.367,.389,92.6,2.7,49.9,
Merrifield, Whit,593160,2016,27,311,332,2,72,19,21.7,5.7,.283,.392,.322,.715,.252,.372,.309,.296,88.1,12.2,34.4,
Bogaerts, Xander,593428,2016,23,652,719,21,123,58,17.1,8.1,.294,.446,.356,.802,.257,.402,.348,.324,89,11,32.7,
Polanco, Jorge,593871,2016,22,245,270,4,46,17,17.0,6.3,.282,.424,.330,.754,.274,.367,.326,.330,86.8,15.8,26.5,
Sano, Miguel,593934,2016,23,437,495,25,178,54,36.0,10.9,.236,.462,.319,.781,.215,.449,.334,.305,92.4,16.9,49.2,
Calhoun, Kole,594777,2016,28,594,672,18,118,67,17.6,10.0,.271,.438,.348,.786,.271,.454,.340,.351,89.8,15.1,40.5,
Duvall, Adam,594807,2016,27,552,608,33,164,41,27.0,6.7,.241,.498,.296,.794,.247,.491,.333,.304,88.6,19.2,41.4,
Eaton, Adam,594809,2016,27,619,706,14,115,63,16.3,8.9,.284,.428,.358,.786,.268,.397,.344,.351,89,5,36,
Garcia, Greg,594824,2016,26,214,257,3,50,38,19.5,14.8,.276,.369,.393,.762,.262,.362,.338,.385,85.5,6.8,23.6,
Gattis, Evan,594828,2016,29,447,499,32,127,43,25.5,8.6,.251,.508,.319,.826,.236,.452,.345,.307,89.4,12.9,35.7,
Schebler, Scott,594988,2016,25,257,282,9,59,19,20.9,6.7,.265,.432,.330,.762,.256,.396,.328,.322,89.7,7.2,39.4,
Kiermaier, Kevin,595281,2016,26,366,414,12,74,40,17.9,9.7,.246,.410,.331,.741,.242,.366,.323,.329,87.9,14,32.4,
Profar, Jurickson,595777,2016,23,272,307,5,61,30,19.9,9.8,.239,.338,.319,.657,.234,.319,.295,.318,86.4,6.9,28.6,
Baez, Javier,595879,2016,23,421,450,14,108,15,24.0,3.3,.273,.423,.313,.736,.233,.377,.316,.279,88.4,14.1,32.3,
Lindor, Francisco,596019,2016,22,604,684,15,88,57,12.9,8.3,.301,.435,.357,.792,.288,.424,.340,.352,88.7,7.9,33.5,
Odor, Rougned,596059,2016,22,605,632,33,135,19,21.4,3.0,.271,.502,.296,.798,.253,.458,.336,.281,89.6,14.2,37.6,
Story, Trevor,596115,2016,23,372,415,27,130,35,31.3,8.4,.272,.567,.340,.907,.262,.530,.380,.334,91.1,17.8,44.5,
Cuthbert, Cheslor,596144,2016,23,475,510,12,96,32,18.8,6.3,.274,.413,.318,.730,.232,.329,.316,.280,89.3,12.4,36.9,
Kepler, Max,596146,2016,23,396,447,17,93,42,20.8,9.4,.235,.424,.309,.733,.241,.352,.313,.316,89.7,8.5,37.5,
Franco, Maikel,596748,2016,23,581,630,25,106,40,16.8,6.3,.255,.427,.306,.733,.259,.427,.311,.312,89.5,11.8,40.7,
Bradley Jr., Jackie,598265,2016,26,558,636,26,143,63,22.5,9.9,.267,.486,.349,.835,.241,.434,.354,.330,90.3,10.1,39.3,
Ahmed, Nick,605113,2016,26,284,308,4,58,15,18.8,4.9,.218,.299,.263,.562,.234,.338,.245,.282,87.1,9.2,29,
Betts, Mookie,605141,2016,23,672,730,31,80,49,11.0,6.7,.318,.534,.363,.897,.278,.446,.379,.330,89.7,12.5,39.9,
Panik, Joe,605412,2016,25,464,526,10,47,50,8.9,9.5,.239,.379,.314,.693,.259,.399,.300,.339,86.3,13,26.8,
Peraza, Jose,606299,2016,22,241,256,3,33,7,12.9,2.7,.324,.411,.352,.762,.310,.406,.331,.343,85.1,11.2,23.7,
Marte, Ketel,606466,2016,22,437,466,1,84,18,18.0,3.9,.259,.323,.285,.608,.244,.297,.266,.276,85.8,7,19.9,
Peterson, Jace,607054,2016,26,350,408,7,69,52,16.9,12.7,.254,.366,.348,.714,.270,.388,.317,.364,88.2,3.7,32.9,
Turner, Trea,607208,2016,23,307,324,13,59,14,18.2,4.3,.342,.567,.370,.937,.298,.494,.395,.333,89.9,11.5,36.4,
Rua, Ryan,607387,2016,26,240,269,8,76,21,28.3,7.8,.258,.400,.331,.731,.230,.359,.317,.306,90.5,10,40.4,
Pillar, Kevin,607680,2016,27,548,584,7,90,24,15.4,4.1,.266,.376,.301,.677,.258,.361,.295,.297,87.1,11.6,30.2,
Ramirez, Jose,608070,2016,23,565,618,11,62,44,10.0,7.1,.312,.462,.362,.824,.290,.416,.355,.345,88.4,13.2,32.9,
Russell, Addison,608365,2016,22,525,598,21,135,55,22.6,9.2,.238,.417,.321,.738,.231,.410,.316,.316,87.6,15.2,31.6,
Seager, Corey,608369,2016,22,627,687,26,133,54,19.4,7.9,.308,.512,.365,.877,.304,.521,.372,.364,91.1,10.3,44,
Mazara, Nomar,608577,2016,21,516,568,20,112,39,19.7,6.9,.266,.419,.320,.739,.262,.426,.318,.321,88,8.6,35,
Jankowski, Travis,608671,2016,25,335,383,2,100,42,26.1,11.0,.245,.313,.329,.642,.235,.292,.293,.327,86.2,0.8,26.9,
Garcia, Adonis,611177,2016,31,532,563,14,93,24,16.5,4.3,.273,.406,.311,.717,.280,.423,.308,.319,89,7.9,34.9,
Correa, Carlos,621043,2016,21,577,660,20,139,75,21.1,11.4,.274,.451,.361,.811,.285,.480,.349,.372,91,7,43.5,
Buxton, Byron,621439,2016,22,298,331,10,118,23,35.6,6.9,.225,.430,.281,.710,.189,.308,.304,.256,89.5,17.3,31.6,
Duffy, Matt,622110,2016,25,333,366,5,53,23,14.5,6.3,.258,.357,.309,.666,.263,.386,.292,.318,87.3,7.3,30.4,
Conforto, Michael,624424,2016,23,304,348,12,89,36,25.6,10.3,.220,.414,.310,.725,.228,.422,.312,.320,90.2,15.1,39,
Puig, Yasiel,624577,2016,25,334,368,11,74,24,20.1,6.5,.263,.416,.323,.740,.245,.393,.320,.309,90.4,11.7,41.1,
Soler, Jorge,624585,2016,24,227,264,12,66,31,25.0,11.7,.238,.436,.333,.769,.224,.425,.333,.325,89.9,17.8,36,
Kang, Jung Ho,628356,2016,29,318,370,21,79,36,21.4,9.7,.255,.513,.354,.867,.250,.476,.369,.355,90.2,10.9,39.8,
Tomas, Yasmany,630111,2016,25,530,563,31,136,31,24.2,5.5,.272,.508,.313,.820,.274,.491,.345,.316,90.6,10,42,
Anderson, Tim,641313,2016,23,410,431,9,117,13,27.1,3.0,.283,.432,.302,.733,.254,.385,.315,.278,87.7,6.7,33.7,
White, Tyler,643603,2016,25,249,276,8,65,23,23.6,8.3,.217,.378,.286,.664,.221,.375,.287,.292,88.1,15.1,31.2,
Diaz, Aledmys,649557,2016,25,404,460,17,60,41,13.0,8.9,.300,.510,.367,.877,.255,.413,.370,.334,89.5,12.6,39.2,
